Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Autofac.Mvc5 6.1.0,,,,,"Autofac.Mvc5, 6.1.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,EntityFramework 6.5.1,,,,,"EntityFramework, 6.5.1  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.AspNet.Mvc 5.3.0,,,,,"Microsoft.AspNet.Mvc, 5.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.AspNet.Razor 3.3.0,,,,,"Microsoft.AspNet.Razor, 3.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.AspNet.WebPages 3.3.0,,,,,"Microsoft.AspNet.WebPages, 3.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.Bcl.AsyncInterfaces 9.0.7,,,,,"Microsoft.Bcl.AsyncInterfaces, 9.0.7  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 4.1.0,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 4.1.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.Web.Infrastructure 2.0.0,,,,,"Microsoft.Web.Infrastructure, 2.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,System.Diagnostics.DiagnosticSource 9.0.7,,,,,"System.Diagnostics.DiagnosticSource, 9.0.7  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.9"
